Cement,Slag,Ash,Water,Plast,Coarse,Fine,Days,Mpa,WC,Predicted_Mpa
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,0.58,40.54616924986742
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54,0.57,35.26674422776434
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,41.41,0.98,39.7984395257069
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28,0.87,38.39361398334471
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32,0.58,44.488744159077434
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42,0.48,35.04015946286721
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52,1.23,35.49332899266147
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56,61.46,0.41,41.384532879986786
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2,0.96,34.881550127439226
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.68,0.61,31.867972754307424
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9,0.52,37.3286655883282
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.36,42.177579557126734
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.25,0.95,33.90723563838157
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,39.0,0.58,33.45406610858732
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27,0.72,41.0446557326411
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3,0.81,34.1338204032787
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,0.54,38.937417419097805
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28,0.53,34.81357469797008
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67,0.94,38.39361398334471
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57,0.4,33.45406610858732
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,0.58,38.09905378897844
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35,0.75,34.4963560271141
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,1.01,36.19574176384256
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38,0.85,32.117215995694266
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34,0.85,39.43590390187149
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9,0.41,42.08694565116788
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,0.69,25.29701457229072
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98,0.58,30.961633694718913
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3,0.78,34.6549653625421
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04,0.58,38.09905378897844
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,0.57,35.31206118074376
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41,0.96,33.45406610858732
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,0.67,25.29701457229072
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,0.41,41.18060659157937
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92,1.16,38.167029218447574
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08,0.58,38.86944198962867
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94,0.4,31.641387989410298
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,24.13,0.63,36.39966805224998
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42,1.06,37.28334863534878
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42,0.65,45.05520607132026
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,0.94,41.089972685620516
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47,0.85,40.27426753199086
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02,1.66,33.45406610858732
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25,0.69,33.680650873484446
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06,0.57,28.333250421912233
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14,12.84,0.82,33.00089657879306
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24,0.73,31.867972754307424
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57,0.28,45.23647388323796
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31,0.75,40.86338792072339
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,0.45,39.59451323729948
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8,0.58,40.81807096774397
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,1.38,33.45406610858732
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,0.45,39.59451323729948
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5,0.94,38.39361398334471
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,0.53,25.29701457229072
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9,1.11,30.84834131227035
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23,0.3,44.783304353443704
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,0.45,39.59451323729948
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,0.49,41.679093074353055
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4,0.77,33.00089657879306
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,0.96,25.29701457229072
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96,1.18,37.12473929992078
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,0.3,40.25160905550115
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8,0.57,36.626252817147105
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,0.6,25.29701457229072
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98,0.77,33.2501398201799
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85,0.5,27.562862221261994
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28,9.74,1.25,33.227481343690194
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,14.5,0.66,34.81357469797008
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28,12.18,1.22,35.17611032180549
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63,0.61,31.867972754307424
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65,0.42,39.11868523101551
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05,0.78,34.81357469797008
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68,1.1,37.28334863534878
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35,0.48,34.81357469797008
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14,18.13,0.67,30.961633694718913
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79,1.0,33.45406610858732
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.36,1.16,36.10510785788371
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4,1.14,35.719913757558594
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45,0.85,34.06584497380956
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36,0.58,43.85430681736548
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26,0.58,33.45406610858732
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64,0.77,33.49938306156674
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,23.79,1.25,33.227481343690194
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94,0.72,41.9283363157399
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07,0.36,40.25160905550115
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03,1.47,32.54772704899881
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19,1.66,30.84834131227035
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86,0.64,34.881550127439226
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7,0.57,35.31206118074376
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5,0.34,48.27270973285947
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77,0.93,38.52956484228298
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88,0.7,29.44351576990816
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99,0.82,33.227481343690194
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08,0.82,33.227481343690194
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22,0.58,32.32114228410168
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34,0.41,41.384532879986786
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57,1.22,30.84834131227035
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,46.68,0.41,41.384532879986786
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88,1.44,33.45406610858732
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65,1.25,31.18821845961604
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,33.72,0.74,32.774311813895935
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,0.85,35.78788918702774
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,0.69,25.29701457229072
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,0.56,37.19271472938993
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74,0.67,30.961633694718913
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53,1.11,30.84834131227035
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21,0.4,31.641387989410298
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51,0.65,45.05520607132026
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28,46.68,0.41,41.384532879986786
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,0.6,25.29701457229072
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14,29.59,0.75,40.88604639721311
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84,1.27,30.961633694718913
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,29.59,0.63,30.961633694718913
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,0.95,39.61717171378919
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47,0.74,34.81357469797008
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84,0.71,29.035663193093328
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,0.97,33.45406610858732
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28,22.35,1.66,33.45406610858732
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,0.75,25.29701457229072
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45,0.58,33.45406610858732
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7,0.51,44.17152548822146
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13,0.55,33.45406610858732
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28,0.33,38.43893093632413
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,0.77,33.04621353177249
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24,0.73,34.881550127439226
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42,0.36,40.25160905550115
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68,0.91,41.42984983296621
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34,0.85,40.22895057901144
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42,0.58,34.81357469797008
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03,0.36,40.25160905550115
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,1.01,36.19574176384256
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47,0.85,36.10510785788371
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28,0.65,36.17308328735285
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85,0.49,33.45406610858732
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,17.58,0.78,34.881550127439226
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03,0.85,32.66101943144737
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6,0.37,43.8996237703449
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38,1.22,33.45406610858732
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7,14.2,0.65,33.45406610858732
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48,0.85,32.66101943144737
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,59.49,0.43,42.06428717467817
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4,0.45,38.41627245983442
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.68,1.88,33.45406610858732
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3,9.85,1.02,30.281879400027528
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53,0.58,30.961633694718913
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88,0.81,33.45406610858732
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71,0.73,35.04015946286721
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95,0.58,43.80898986438605
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.87,0.54,35.7425722340483
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,0.45,39.59451323729948
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99,0.65,45.05520607132026
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75,0.46,44.10355005875232
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88,1.26,31.41480322451317
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28,23.79,1.25,33.15950591422105
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.44,0.66,34.81357469797008
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77,0.75,37.532591876735616
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1,0.49,41.679093074353055
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,0.86,25.29701457229072
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33,0.69,33.680650873484446
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28,33.95,1.22,30.84834131227035
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.46,1.05,38.80146656015953
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.45,0.47,34.881550127439226
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84,0.75,37.532591876735616
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.03,1.1,35.81054766351745
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29,1.66,30.84834131227035
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07,1.26,38.07639531248873
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,1.2,25.29701457229072
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89,0.52,37.3286655883282
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.49,0.55,33.45406610858732
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93,1.16,28.69578604574764
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7,39.0,0.42,36.626252817147105
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2,0.41,42.08694565116788
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3,19.52,0.75,40.931363350192534
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28,37.36,1.15,36.17308328735285
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97,1.46,31.867972754307424
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42,0.58,44.488744159077434
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96,0.91,34.881550127439226
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.7,0.48,34.81357469797008
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62,0.93,38.52956484228298
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90,26.94,0.78,32.09455751920455
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,23.64,0.43,42.06428717467817
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34,0.85,32.66101943144737
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.0,0.49,34.81357469797008
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.75,0.84,34.881550127439226
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28,36.8,0.57,36.51296043469854
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72,1.05,37.19271472938993
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.87,1.33,33.45406610858732
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76,0.62,33.45406610858732
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9,0.36,42.6534075634107
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33,1.88,30.84834131227035
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02,0.72,41.701751550842765
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,27.83,0.62,33.45406610858732
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,50.51,0.28,43.87696529385519
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.47,0.82,33.00089657879306
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0,0.85,35.78788918702774
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.73,0.81,30.84834131227035
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28,24.58,1.29,33.45406610858732
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7,0.42,34.81357469797008
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05,0.57,36.626252817147105
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,0.53,25.29701457229072
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2,0.99,39.843756478686316
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43,0.58,34.85889165094951
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79,0.49,33.45406610858732
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,0.45,39.59451323729948
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3,3.32,1.66,30.84834131227035
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15,0.72,41.883019362760464
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.25,0.9,36.17308328735285
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90,29.23,1.88,30.84834131227035
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23,0.85,35.78788918702774
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28,34.74,0.58,38.86944198962867
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86,1.31,31.641387989410298
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35,0.85,32.728994860916515
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,33.27,0.77,33.2501398201799
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14,20.77,0.63,30.961633694718913
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11,0.36,34.1338204032787
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4,0.37,43.8996237703449
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29,0.58,43.80898986438605
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,0.38,35.92384004596601
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77,0.66,38.302980077385854
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24,0.62,33.45406610858732
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73,0.86,25.29701457229072
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91,0.52,33.6126754440153
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62,0.58,33.45406610858732
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,61.23,0.53,37.532591876735616
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72,1.39,31.074926077167476
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66,1.44,33.45406610858732
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97,0.75,34.24711278572727
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,55.16,0.4,31.641387989410298
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.46,1.25,33.15950591422105
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86,0.55,33.45406610858732
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5,0.37,43.8996237703449
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76,1.1,36.4449850052294
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100,55.64,0.58,40.56882772635713
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28,37.91,1.1,35.49332899266147
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28,43.58,0.69,33.7712847794433
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.36,42.177579557126734
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0,0.42,34.81357469797008
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3,41.64,0.32,37.75917664163274
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.94,0.4,33.45406610858732
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42,0.49,34.81357469797008
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,0.48,25.29701457229072
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72,1.34,33.680650873484446
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9,0.45,38.41627245983442
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7,12.37,1.02,34.881550127439226
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23,1.16,36.626252817147105
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.38,0.44,31.641387989410298
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54,0.78,34.81357469797008
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,0.6,25.29701457229072
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28,56.83,0.35,35.04015946286721
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91,0.78,34.881550127439226
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.6,1.0,34.881550127439226
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4,0.75,40.84072944423368
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,0.48,25.29701457229072
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.36,42.177579557126734
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,0.97,33.45406610858732
491.0,26.0,123.0,201.0,3.9,822.0,699.0,7,37.92,0.41,31.41480322451317
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04,0.58,40.56882772635713
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,0.67,25.29701457229072
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9,0.41,41.384532879986786
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28,26.86,1.31,31.641387989410298
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28,22.44,0.66,35.04015946286721
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,0.97,33.45406610858732
